"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
110764313093221_335566547279662,https://www.facebook.com/jowradio/posts/335566547279662,"الضيفة الثانية في حصتكم  #Instajow هي زهرة حركات 😍🔥 

اسمعونا من 21h à 23h",Photo,,,"10/25/2019 11:46:22 AM"," ",23704,23704,0,26137,26137,0,671,474,552,6,6,17039,15645,0,0,512,0,0,0,0,0,0,0,0,0,0,,208,10,,,208,11,,,322,,181,,376,,176,5,1,,,5,1,,
110764313093221_335565470613103,https://www.facebook.com/jowradio/posts/335565470613103,"ضيفة اليوم في حصتكم  #Instajow هي منال حدلي 
اسمعونا من 21h à 23h",Photo,,,"10/25/2019 11:44:19 AM"," ",16876,16876,0,19270,19270,0,390,303,347,4,4,12496,11372,0,0,295,0,0,0,0,0,0,0,0,0,0,,99,9,,,101,9,,,210,,111,,236,,111,2,2,,,2,2,,
110764313093221_335564833946500,https://www.facebook.com/jowradio/posts/335564833946500,"كيما عودكم فريق سرك في جو كل يوم جمعة يجيبولكم حكايات واسرار جدد ، ما تراطيوش الحلقة تاع اليوم من 23 سا حتى 1 تاع الصباح ، سرك في جو مع يونس ، نسيم وكمال ، لي تحكوه في جو يقعد في جو وإذا حابين تشاركو معانا ما عليكم غير تبعتولنا على الواتساب والفايبر فالرقم التالي 0770149543
www.jow.radio",Photo,,,"10/25/2019 11:43:02 AM"," ",16072,16072,0,18229,18229,0,443,398,447,1,1,11906,10583,0,0,323,0,0,0,0,0,0,0,0,0,0,,51,11,,,53,20,,,321,10,86,,351,11,85,,1,,,,1,,
110764313093221_334745170695133,https://www.facebook.com/jowradio/posts/334745170695133,"ببالغ  الحزن والأسى  تلقت أسرة &quot; Jow Radio&quot;  نبأ وفاة  المدير العام لمجمع الشروق، السيد علي فوضيل وعلى إثر هذا المصاب الجلل لا يسعنا إلا أن نتضرع لله العلي القدير، أن يتغمد الفقيد بواسع رحمته، ويسكنه الفردوس الأعلى.

إنا لله وإنا إليه راجعون",Photo,,,"10/24/2019 05:23:39 AM"," ",41417,41417,0,46356,46355,0,2025,1200,1259,10,10,29098,26146,0,0,1341,0,0,0,0,0,0,0,0,0,0,3,907,103,,3,929,113,,,1018,,182,,1078,,181,7,3,,,7,3,,
110764313093221_333931654109818,https://www.facebook.com/jowradio/posts/333931654109818,"مقطع من الألبوم الجديد &quot;نمشي بعيد&quot; لنسيم دندان لراح يخرج في ماي 2020 حصريا على جو راديو 😍🎸🎶",Video,,,"10/23/2019 03:15:46 PM"," ",55580,55580,0,64015,64015,0,3555,3136,4055,13,13,33954,28844,0,0,1923,286,310,0,0,18653,20550,0,0,13576,243114,40,759,44,,41,802,56,,1076,2497,,,1146,2908,,,9,4,,,9,4,,
110764313093221_333576667478650,https://www.facebook.com/jowradio/posts/333576667478650,"ضيف اليوم في لي ديبلومي هو DJAM 😍😍 ما تراطيوش الحصة من 21 سا إلى 00 سا 👌
#LDTH",Photo,,,"10/22/2019 12:54:05 PM"," ",26786,26786,0,32507,32507,0,671,412,447,4,4,20917,17741,0,0,479,0,0,0,0,0,0,0,0,0,0,,269,29,,,274,30,,,319,,107,,338,,109,4,,,,4,,,
110764313093221_333575614145422,https://www.facebook.com/jowradio/posts/333575614145422,"ضيفة اليوم في لي ديبلوميهي أميرة ريا 😍 ما تراطيوش الحصة من 21 سا حتى 00سا 🤩
#LDTH",Photo,,,"10/22/2019 12:52:10 PM"," ",53285,53285,0,63155,63155,0,3660,3117,3470,14,14,38636,32501,0,0,2382,0,0,0,0,0,0,0,0,0,0,,632,195,,,656,245,,,2231,,1081,,2403,,1067,6,8,,,6,8,,
110764313093221_333418477494469,https://www.facebook.com/jowradio/posts/333418477494469,"شاهد : شاب جزائري يروي قصة زواجه من فتاة إيطالية مسلمة . 
www.jow.radio",Video,,,"10/22/2019 07:59:04 AM"," ",22673,22673,0,27713,27713,0,1493,1260,1618,3,4,16109,13261,0,0,887,1867,1909,0,0,9746,10851,0,0,12339,55145,1,302,7,,1,308,7,,743,706,21,,775,809,22,,,4,,,,3,,
110764313093221_333379980831652,https://www.facebook.com/jowradio/posts/333379980831652,"😅😂 اسمعوا كيفاش دخل لحبس هو و صحابو",Video,,,"10/22/2019 07:00:01 AM"," ",148137,148137,0,186052,186052,0,14783,13912,19023,32,32,79453,60928,0,0,6537,4560,4625,0,0,54629,59166,0,0,37435,321342,27,1420,87,,27,1446,93,,7208,9762,,,7586,11434,,,15,17,,,15,17,,
110764313093221_333316257504691,https://www.facebook.com/jowradio/posts/333316257504691,"فاز الشاب خالد بجائزة GQ Legend للمجلة المختصة بالأزياء والحياة الاجتماعية 🏆😍",Photo,,,"10/22/2019 04:42:40 AM"," ",34801,34801,0,41718,41718,0,1370,898,990,4,4,26732,22736,0,0,1014,0,0,0,0,0,0,0,0,0,0,1,550,46,,1,557,53,,,542,,385,,596,,394,2,2,,,2,2,,
110764313093221_332236070946043,https://www.facebook.com/jowradio/posts/332236070946043,"ماتراطيوش أسمعوا لحكاية 😂
أبعثوا أسراركم في تسجيل صوتي على الواتساب تاع #سرك_في_جو علي الرقم : 0770149543",Video,,,"10/21/2019 02:00:00 PM"," ",268426,268426,0,333172,333172,0,27358,25383,33259,80,78,89682,66830,0,0,8524,5185,5247,0,0,107811,123556,0,0,31360,317354,82,3732,188,,85,3891,224,,12330,16972,,,12818,20438,,,26,52,,,26,53,,
