"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
110764313093221_400116314158018,https://www.facebook.com/jowradio/posts/400116314158018,"🔴 اسمعوا القصة تاع هاذ المستمعة ... 
🔴 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
__________
#SERREKFIJOW #JOW #RADIO",Video,,,"01/29/2020 02:26:31 PM"," ",49947,49947,0,52027,52027,0,2213,1923,2378,17,17,28324,26565,0,0,1301,732,732,0,0,14492,14492,0,0,13486,209194,4,346,10,,4,364,11,,543,1569,,,559,1819,,,10,7,,,10,7,,
110764313093221_399548794214770,https://www.facebook.com/jowradio/posts/399548794214770,"🔴ما تراطيوش حصة اليوم،راح تكون معانا كنزة مرسلي🔥

🔴 فالبرنامج: 
- 21:45⏩ Canular M3a Nassim Hadouche🔥
- 21:50⏩ L'quiz te3 Tinhinane😍
-22h-23h ⏩ l'interview 🔥🤩
23h-00:00⏩ sa3et la3b 🤣
__________________
🔴 أسمعونا من : 21سا-00:00سا
🔴 على : www.jow.radio
__________________
#LDTH #JOW #RADIO",Photo,,,"01/28/2020 10:50:06 AM"," ",46678,46678,0,48442,48442,0,1977,1468,1764,8,8,24889,23671,0,0,849,0,0,0,0,0,0,0,0,0,0,8,709,80,,12,862,153,,,1168,126,276,,1314,160,290,5,3,,,5,3,,
110764313093221_398969834272666,https://www.facebook.com/jowradio/posts/398969834272666,"شاهد كيف يحتفل الصينيون  في الجزائر بعامهم الجديد",Video,,,"01/27/2020 07:08:02 AM"," ",107661,107661,0,109932,109932,0,6887,5932,7521,12,12,41393,38214,0,0,2563,1071,1090,0,0,46394,49729,0,0,17281,293609,111,1320,142,,117,1378,184,,1547,4924,,,1683,5836,,,4,8,,,4,8,,
110764313093221_398927590943557,https://www.facebook.com/jowradio/posts/398927590943557,"مبروك على chroniqueur تاعنا Kamel Abdat -كمال عبدات اللي ربح جائزة الفكاهة ل &quot;IMA Comedy Club&quot; في باريس 😍🇩🇿",Photo,,,"01/27/2020 05:32:22 AM"," ",42068,42068,0,44015,44015,0,1326,843,979,12,12,27468,26637,0,0,998,0,0,0,0,0,0,0,0,0,0,7,532,33,,7,532,42,,,660,,228,,746,,233,8,4,,,8,4,,
110764313093221_398436410992675,https://www.facebook.com/jowradio/posts/398436410992675,"شاهد كيف يحتفل الصينيون بعامهم الجديد مع الجزائريين  😍",Video,,,"01/26/2020 07:00:01 AM"," ",388720,388720,0,388946,388946,0,24830,20768,26142,28,29,67139,64608,0,0,5174,4150,4177,0,0,188510,188510,0,0,18500,293609,430,4837,431,,460,4980,540,,4597,18170,,,5043,21097,,,11,18,,,11,18,,
110764313093221_397563011080015,https://www.facebook.com/jowradio/posts/397563011080015,"📢 متراطيوش حصتكم اليوم، راه يكون فيها العديد من الحكايات... الغريبة، المؤلمة... 😕
__________________
🔴 موعدنا معاكم من  23سا-01:00سا 🔥
📢 أسمعونا على : www.jow.radio
__________________
#SERREKFIJOW #JOWRADIO #حكايات_الناس",Photo,,,"01/24/2020 12:45:48 PM"," ",25253,25253,0,26561,26561,0,521,445,498,0,0,15993,15184,0,0,398,0,0,0,0,0,0,0,0,0,0,,99,9,,,102,11,,,347,50,61,,383,54,61,,,,,,,,
110764313093221_397037497799233,https://www.facebook.com/jowradio/posts/397037497799233,"يونس صابر الشريف في Quizz واش جابك ؟
شوفو واش قالنا  😅",Video,,,"01/23/2020 01:16:31 PM"," ",116278,116278,0,123735,123735,0,5768,4913,5960,12,12,51646,48390,0,0,2967,2559,2623,0,0,36445,38319,0,0,18003,233087,5,926,32,,5,957,36,,1129,4340,2,,1126,4832,2,,4,8,,,4,8,,
110764313093221_396417317861251,https://www.facebook.com/jowradio/posts/396417317861251,"نسيم حدوش يدير  Canular لواحد يبيع الزواوش 🤣
#LDTH",Video,,,"01/22/2020 12:00:01 PM"," ",165771,165771,0,174252,174252,0,11582,10283,12694,21,21,86275,82187,0,0,5966,4460,4460,0,0,69083,70322,0,0,35554,413950,73,2001,58,,78,2091,68,,2772,8205,2,,3004,9688,2,,11,10,,,11,10,,
110764313093221_395970274572622,https://www.facebook.com/jowradio/posts/395970274572622,"شكون هوما براعم Thugs؟ 😃
اسمعونا دوكا على www.jow.radio",Photo,,,"01/21/2020 12:07:52 PM"," ",31100,31100,0,32389,32389,0,956,719,897,5,5,19938,19091,0,0,687,0,0,0,0,0,0,0,0,0,0,1,277,25,,1,278,29,,,423,235,176,,476,242,179,5,,,,5,,,
110764313093221_395916067911376,https://www.facebook.com/jowradio/posts/395916067911376,"ضيوفنا اليوم &quot; براعم Thugs &quot;🔥😍
واش عدنا اليوم؟ 🤔
⭕ El Canular مع نسيم حدوش ▶️ 21:45
⭕ Quiz M3a Tinhinane 21:50
⭕ 22سا-23سا interview M3a براعم Thugs
⭕ 23سا:00:00سا... ساعة اللعب 
تبعونا من 21سا-00:00سا، على : www.jow.radio
_______________
#LDTH",Photo,,,"01/21/2020 09:47:52 AM"," ",49283,49283,0,49763,49763,0,1820,1414,1571,1,1,31543,30936,0,0,1260,0,0,0,0,0,0,0,0,0,0,2,518,76,,3,529,89,,,1081,151,245,,1164,159,248,1,,,,1,,,
