"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
110764313093221_363458797823770,https://www.facebook.com/jowradio/posts/363458797823770,"هكذا ألهمت الثورة الجزائرية &quot; مانديلا &quot; وجعلت منه قائدا ثوريا .. شاهد قصة مانديلا والجزائر في هذا الفيديو",Video,,,"12/06/2019 12:06:46 AM"," ",17555,17555,0,17884,17884,0,816,603,775,1,1,9177,8841,0,0,420,637,637,0,0,4315,4315,0,0,9998,112789,38,208,9,,38,219,12,,315,392,,,328,447,,,,1,,,,1,,
110764313093221_362534961249487,https://www.facebook.com/jowradio/posts/362534961249487,"فقرة حمار الليل مع كمال عبدات 😂
مع الشابة سامو، الطفل وليد ...
#SERREKFIJOW",Video,,,"12/05/2019 02:30:00 PM"," ",35477,35477,0,36360,36360,0,1673,1404,1752,5,5,20485,20227,0,0,959,268,277,0,0,12057,12231,0,0,14734,293950,6,314,13,,6,322,13,,551,1005,,,583,1169,,,4,1,,,4,1,,
110764313093221_362498977919752,https://www.facebook.com/jowradio/posts/362498977919752,"هاذي حكاية مستمعة خدات برأي صديقتها في علاقتها وفي الأخير...
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543

#SERREKFIJOW",Video,,,"12/05/2019 01:00:01 PM"," ",296659,296659,0,335747,335747,0,28635,26145,32504,90,90,75491,67296,0,0,7623,7586,7907,0,0,127190,139833,0,0,32563,274751,116,4496,428,,142,4605,514,,9241,18825,1,,9930,22572,1,,29,61,,,29,61,,
110764313093221_362518561251127,https://www.facebook.com/jowradio/posts/362518561251127,"فقرة حمار الليل مع كمال عبدات 😂
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543

#SERREKFIJOW",Video,,,"12/05/2019 12:00:00 PM"," ",15832,15832,0,16083,16083,0,849,779,997,2,2,8854,8684,0,0,453,245,245,0,0,4243,4301,0,0,10232,172671,5,100,6,,5,106,6,,411,461,,,451,546,,,1,1,,,1,1,,
110764313093221_363029687866681,https://www.facebook.com/jowradio/posts/363029687866681,"ملكة حسناوات العرب 2019 ، لطيفة عايد تجيب على أسئلة &quot; خفيفة ظريفة &quot;",Video,,,"12/05/2019 08:37:09 AM"," ",72280,72280,0,73222,73222,0,4120,3672,4960,7,7,15631,15842,0,0,1056,1510,1522,0,0,23806,23806,0,0,14544,145386,7,531,58,,7,546,72,,940,3477,,,971,3989,,,5,2,,,5,2,,
110764313093221_362895961213387,https://www.facebook.com/jowradio/posts/362895961213387,"في ذكرى وفاة مانديلا ... هكذا ألهمت الثورة الجزائرية &quot; مانديلا &quot; وجعلت منه قائدا ثوريا .. شاهد قصة مانديلا والجزائر  في هذا الفيديو",Video,,,"12/05/2019 05:52:18 AM"," ",14274,14274,0,14691,14691,0,445,344,403,0,0,7594,7546,0,0,238,232,235,0,0,2101,2167,0,0,5455,112789,13,119,5,,14,122,5,,185,192,,,187,216,,,,,,,,,,
110764313093221_362466637922986,https://www.facebook.com/jowradio/posts/362466637922986,"أسمعوا القصة المؤلمة تاع هاذ المستمعة اللي هجرها خطيبها بعد ... 
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543

#SERREKFIJOW",Video,,,"12/04/2019 03:04:33 PM"," ",724022,724022,0,870821,870821,0,70675,64084,87177,192,194,97809,86146,0,0,10215,19837,19837,0,0,309573,346229,0,0,43574,399361,1264,14064,2052,,1420,15358,2597,,19977,50618,,,22130,65047,,,77,117,,,78,113,,
110764313093221_362422854594031,https://www.facebook.com/jowradio/posts/362422854594031,"أسمعوا قصة هاذ المستمع، اللي حرق على جال المرأة اللي حبها ! 
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
#SERREKFIJOW",Video,,,"12/04/2019 02:35:00 PM"," ",52727,52727,0,53692,53692,0,4180,3739,4683,10,10,24244,23526,0,0,2001,3660,3736,0,0,16813,16813,0,0,19277,133761,10,638,30,,19,663,37,,998,3192,,,1059,3624,,,6,4,,,6,4,,
110764313093221_362229451280038,https://www.facebook.com/jowradio/posts/362229451280038,"هل تعرف  ماذا فعلت فرنسا  بالمدفع الجزائري  &quot;بابا مرزوق&quot; الذي قذف بقنصلين فرنسيين في عرض البحر  في القرن 17 ؟ ... شاهد الفيديو",SharedVideo,,,"12/04/2019 10:36:41 AM"," ",10119,10119,0,10001,10001,0,513,483,537,1,1,6035,6138,0,0,344,0,0,0,0,1858,1858,0,0,0,118122,,43,1,,,48,1,,,483,,,,537,,,1,,,,1,,,
110764313093221_362096164626700,https://www.facebook.com/jowradio/posts/362096164626700,"شاهد صافي بوتلة في Quizz  أوسكار ...  هذه هي الأشياء لي يحبها ومنحها الأوسكار  :)",Video,,,"12/04/2019 08:15:18 AM"," ",85179,85179,0,87385,87385,0,5373,5026,6196,12,12,20764,20237,0,0,1505,2258,2259,0,0,26071,26642,0,0,15271,178517,9,583,32,,10,591,35,,1100,4532,,,1156,5040,,,6,6,,,6,6,,
110764313093221_361977684638548,https://www.facebook.com/jowradio/posts/361977684638548,"اليوم في واش l'artiste من 21سا - 23سا راح يكون معانا الشاب جواد 😍
#BranchiwJow 
اسمعونا على : www.jow.radio",Photo,,,"12/04/2019 06:01:01 AM"," ",13592,13592,0,13320,13320,0,228,143,162,2,2,8224,8541,0,0,180,0,0,0,0,0,0,0,0,0,0,,94,3,,,94,3,,,98,13,39,,110,13,39,2,,,,2,,,
110764313093221_361861357983514,https://www.facebook.com/jowradio/posts/361861357983514,"فوزي موسوني : &quot; ديلور لازم يبيّن قدراتو مع المنتخب الوطني &quot; ⚽🇩🇿
اسمعونا على : www.jow.radio
Ballon",Video,,,"12/04/2019 03:54:10 AM"," ",13151,13151,0,13192,13192,0,560,439,550,1,1,7160,7261,0,0,360,204,211,0,0,4859,4957,0,0,12560,127914,,144,3,,,147,3,,164,315,12,,168,370,12,,,1,,,,1,,
110764313093221_361826157987034,https://www.facebook.com/jowradio/posts/361826157987034,"شاهدوا قصة المدفع الجزائري  &quot;بابا مرزوق&quot; الذي قذف بقنصلين فرنسيين في عرض البحر  ...",Video,,,"12/04/2019 03:13:30 AM"," ",33830,33830,0,34861,34861,0,3145,2871,3652,0,0,16412,16162,0,0,1560,1880,1908,0,0,14066,14381,0,0,16149,118122,88,336,22,,94,384,35,,904,2389,,,929,2723,,,,,,,,,,
110764313093221_361211878048462,https://www.facebook.com/jowradio/posts/361211878048462,"ماتراطيوش حصة اليوم مع الضيف ديانا مروان قروابي 😍
تبعونا من 21 سا ـ 23سا
أسمعونا على : www.jow.radio",Photo,,,"12/03/2019 08:29:16 AM"," ",26231,26231,0,26512,26512,0,1400,1129,1339,7,7,16465,16842,0,0,975,0,0,0,0,0,0,0,0,0,0,1,355,161,,1,365,176,,,900,147,155,,1030,155,154,6,1,,,6,1,,
110764313093221_361114248058225,https://www.facebook.com/jowradio/posts/361114248058225,"البطل الأولمبي لذوي الاحتياجات الخاصة  عبد اللطيف بقة ...إنجازات تتفوق على الإعاقة 💪🇩🇿🥇",Video,,,"12/03/2019 07:00:01 AM"," ",187174,187174,0,184508,184508,0,9230,4588,5896,5,5,34587,34411,0,0,1833,1212,1212,0,0,63900,64752,0,0,13190,217962,85,5396,56,,87,5396,69,,601,4324,,,620,5276,,,1,4,,,1,4,,
110764313093221_360944664741850,https://www.facebook.com/jowradio/posts/360944664741850,"يونس صابر الشريف في Quizz واش جابك ؟
شوفو واش قالنا  😅",Video,,,"12/03/2019 03:00:01 AM"," ",496532,496532,0,529644,529644,0,27829,25673,32666,52,52,81936,74744,0,0,8679,13377,14043,0,0,146243,159658,0,0,21577,233087,34,3521,172,,36,3643,191,,7379,20958,,,7978,24687,,,29,23,,,29,23,,
110764313093221_360915864744730,https://www.facebook.com/jowradio/posts/360915864744730,"ملك اللوبيا  🍲😋 بالجزائر العاصمة المطعم الذي يجمع الغني و الفقير .

www.jow.news",Video,,,"12/03/2019 12:27:52 AM"," ",737601,737601,0,795043,795043,0,57951,44325,59364,53,52,79449,75679,0,0,6633,27964,27964,0,0,267245,267957,0,0,22586,196565,1209,17580,1119,,1293,17580,1506,,11571,39138,115,,12504,46745,114,,14,38,,,14,38,,
110764313093221_360578881445095,https://www.facebook.com/jowradio/posts/360578881445095,"هل  يستحق محرز مرتبة أفضل ؟   ... تعليقاتكم ⬇️",Link,,,"12/02/2019 12:11:47 PM"," ",11043,11043,0,10845,10845,0,385,234,257,0,0,5906,6148,0,0,258,0,0,0,0,0,0,0,0,0,0,1,164,24,,1,167,26,,,161,80,2,,174,81,2,,,,,,,,
110764313093221_360523634783953,https://www.facebook.com/jowradio/posts/360523634783953,"🔴🔴🔴 رسميا.. #رياض_محرز ضمن قائمة العشرة الأوائل لجوائز حفل الكرة الذهبية",Photo,,,"12/02/2019 10:28:28 AM"," ",44025,44025,0,43750,43750,0,3612,3274,3581,5,5,28457,28108,0,0,2535,0,0,0,0,0,0,0,0,0,0,7,469,18,,8,481,20,,,469,1,2980,,510,1,3070,3,2,,,3,2,,
110764313093221_360468731456110,https://www.facebook.com/jowradio/posts/360468731456110,"نهائي صوت شالانج هاد الخميس راح يجيكم على الساعة 22:00 وين راح تكون المنافسة بين زينب و سيف الدين للفوز بلقب صوت شالانج لسنة 2019، و راح يكونو معانا ضيوف كبار، أبقاو معانا بزاف مفاجآت راهم يستناو فيكم، في رايكم شكون راح يفوز: 
زينب عويداد / سليم الشاوي
سيف الدين سديرة / فلّة الجزائرية

Enfin arrivés à la finale, Zineb et Sif Eddine vont s'affronter pour le titre de Sawt Challenge 2019.
De grands Artistes seront présents , restez branchés pleins de surprises vous attendent , Rendez vous jeudi à 22:00 sur El Djazairia ONE.",Video,,,"12/02/2019 09:05:09 AM"," ",13417,13417,0,14142,14142,0,849,730,860,0,0,7367,7480,0,0,414,221,221,0,0,4434,4865,0,0,7078,51029,1,136,6,,1,142,10,,460,329,1,,494,363,1,,,,,,,,,
110764313093221_360435288126121,https://www.facebook.com/jowradio/posts/360435288126121,"إسلام سليماني من عين البنيان إلى موناكو  ... قصة ملهمة لإصرار شاب على تحقيق أحلامه  😍💪🇩🇿  .
شاهدوا معنا",Video,,,"12/02/2019 08:14:58 AM"," ",3137528,3137528,0,3607306,3608942,0,170517,138155,173670,218,225,128316,115392,0,0,14056,108634,108634,0,0,1194254,1211415,0,0,22970,212799,2382,41858,1343,,2611,43025,1645,,30759,128868,2,,31806,141846,2,,77,148,,,76,144,,
110764313093221_360313821471601,https://www.facebook.com/jowradio/posts/360313821471601,"5 وجبات تسهتوي الجزائريين في فصل الشتاء",Link,,,"12/02/2019 04:26:21 AM"," ",14087,14087,0,13887,13887,0,438,324,351,2,2,8232,8463,0,0,288,0,0,0,0,0,0,0,0,0,0,4,115,14,,4,115,18,,,143,190,2,,163,186,2,1,1,,,1,1,,
110764313093221_360233488146301,https://www.facebook.com/jowradio/posts/360233488146301,"شوفوا معانا Quizz تع إيناس نايلي ملكة الماكلة 🍕🍔😂",Video,,,"12/02/2019 03:00:00 AM"," ",232620,232620,0,244262,244262,0,16193,15209,19905,35,38,31437,30049,0,0,2980,12381,12381,0,0,83813,86671,0,0,17051,105237,8,1588,239,,8,1672,316,,2851,14022,,,3024,16881,,,12,26,,,12,25,,
110764313093221_359898404846476,https://www.facebook.com/jowradio/posts/359898404846476,"الأخصائية النفسية ميم حاميا: &quot;تجينا طايحا  كي بنتنا تخدم&quot;
  و نتوما واش رايكم؟ 🤔
اسمعونا على :www.jow.radio 
#BNATIME",Video,,,"12/01/2019 02:00:00 PM"," ",13528,13528,0,14265,14265,0,707,600,765,2,2,7682,7601,0,0,385,338,339,0,0,5257,5525,0,0,12190,96554,8,130,27,,8,132,34,,294,377,7,,297,461,7,,1,1,,,1,1,,
110764313093221_359866968182953,https://www.facebook.com/jowradio/posts/359866968182953,"أخصائية نفسية تجيب على أسئلة بيوتيز إيناس
اسمعونا على : www.jow.radio
#BNATIME",Video,,,"12/01/2019 12:00:00 PM"," ",44386,44386,0,45718,45718,0,2088,1857,2369,3,3,28158,28133,0,0,1333,392,392,0,0,15945,16405,0,0,16723,413631,10,253,24,,11,253,30,,529,1478,35,,554,1780,35,,2,1,,,2,1,,
110764313093221_359781658191484,https://www.facebook.com/jowradio/posts/359781658191484,"هل عيب تقول كلمة نحبك في الدار ؟ 😮
اسمعونا على : www.jow.radio
#BNATIME",Video,,,"12/01/2019 10:00:00 AM"," ",29951,29951,0,30204,30204,0,1610,1378,1802,3,3,16889,17072,0,0,1005,379,379,0,0,8750,9055,0,0,8186,106389,5,286,60,,5,295,72,,357,1191,16,,376,1409,16,,1,2,,,1,2,,
110764313093221_359560974880219,https://www.facebook.com/jowradio/posts/359560974880219,"ملك اللوبيا  🍲😋 بالجزائر العاصمة المطعم الذي يجمع الغني و الفقير .

www.jow.news",Video,,,"12/01/2019 07:00:01 AM"," ",4632129,4632129,0,5580275,5580275,0,410526,361335,469540,340,350,191102,154886,0,0,26271,248756,251317,0,0,1883266,2042127,0,0,28324,196565,7105,69711,8072,,7530,72936,10576,,109886,296813,727,,123413,345339,743,,107,242,,1,109,235,,1
110764313093221_359592061543777,https://www.facebook.com/jowradio/posts/359592061543777,"هل الفيسبوك راح يبدل سياسة استعمال تاعو ؟ 

اسمعونا على :  www.jow.radio

#BranchiwJow",Video,,,"12/01/2019 04:00:00 AM"," ",11734,11734,0,12463,12463,0,417,344,399,1,1,6648,6596,0,0,270,116,116,0,0,3989,4111,0,0,10115,175812,2,82,3,,2,83,4,,140,217,9,,140,250,9,,1,,,,1,,,
110764313093221_359532601549723,https://www.facebook.com/jowradio/posts/359532601549723,"البطل الأولمبي توفيق مخلوفي  في Quizz &quot; تجري و لا تمشي ؟  &quot;  ..شاهد خياراته :)",Video,,,"12/01/2019 03:00:01 AM"," ",10041,10041,0,10696,10696,0,516,419,496,1,1,5422,5356,0,0,316,284,284,0,0,2976,3058,0,0,9746,48702,2,126,2,,3,126,2,,190,268,,,191,305,,,,1,,,,1,,
110764313093221_359556288214021,https://www.facebook.com/jowradio/posts/359556288214021,"حال كرة القدم في الجزائر.....من السيء إلى الأسوأ

اسمعونا على : www.jow.radio

#BranchiwJow",Video,,,"12/01/2019 03:00:01 AM"," ",21747,21747,0,21918,21918,0,1000,831,1034,2,2,11162,10836,0,0,623,153,153,0,0,5814,6022,0,0,8317,158634,11,223,8,,11,243,9,,263,649,14,,267,753,14,,2,,,,2,,,
110764313093221_357814251721558,https://www.facebook.com/jowradio/posts/357814251721558,"نصيحة كادار جابوني لي جاليل طايبي 

اسمعونا على : www.jow.radio

#BranchiwJow",Video,,,"11/30/2019 09:00:00 AM"," ",16330,16330,0,16854,16854,0,1136,980,1264,2,2,8700,8823,0,0,717,900,900,0,0,5551,5886,0,0,12259,59199,3,206,8,,3,213,11,,357,757,16,,388,860,16,,,2,,,,2,,
110764313093221_359051881597795,https://www.facebook.com/jowradio/posts/359051881597795,"30 نوفمبر ذكرى رحيل الشيخ عبد الباسط عبد الصمد 
هذه صورة  للشيخ عبد الباسط بالجزائر  حيث كرّمه الرئيس الجزائري الراحل أحمد بن بلّة .",Photo,,,"11/30/2019 08:10:17 AM"," ",18393,18393,0,18659,18659,0,565,225,246,3,3,11495,11463,0,0,415,0,0,0,0,0,0,0,0,0,0,17,356,10,,18,364,10,,,171,,66,,178,,68,3,,,,3,,,
110764313093221_358194998350150,https://www.facebook.com/jowradio/posts/358194998350150,"محمد بودية ..تشي غيفارا الجزائري  والمناضل العالمي الذي اغتاله الموساد الإسرائيلي ... تعرف على أبرز عملياته دعما لفلسطين والتي أرعبت إسرائيل في أوربا وعلاقته بكارلوس الثلعب وتأثيره على فرقة ناس الغيوان ..",Video,,,"11/30/2019 08:00:31 AM"," ",16518,16518,0,17097,17097,0,843,643,807,3,3,7736,7556,0,0,355,546,554,0,0,4039,4342,0,0,14782,171754,65,205,15,,68,212,15,,267,425,,,304,503,,,,3,,,,3,,
110764313093221_359005834935733,https://www.facebook.com/jowradio/posts/359005834935733,"شوفو الكليب الجديد تاع كادير الجابوني في إستوديو جو راديو 😍😍🔥",Link,,,"11/30/2019 06:50:48 AM"," ",21655,21655,0,22248,22248,0,1033,953,1052,2,2,14400,14783,0,0,736,0,0,0,0,0,0,0,0,0,0,4,94,13,,4,97,16,,,224,773,,,248,804,,2,,,,2,,,
110764313093221_358194615016855,https://www.facebook.com/jowradio/posts/358194615016855,"أشياء كثيرة متعرفوهاش على البطل توفيق مخلوفي  ... شاهدو هذا Quizz",Video,,,"11/30/2019 04:52:46 AM"," ",60567,60567,0,64812,64812,0,2678,1941,2314,5,6,24660,24740,0,0,1033,955,955,0,0,17116,18252,0,0,15791,292073,13,860,17,,13,877,19,,445,1646,1,,466,1847,1,,3,3,,,3,3,,
110764313093221_358892464947070,https://www.facebook.com/jowradio/posts/358892464947070,"في مثل هذا اليوم من سنة 2016 عمر الزاهي ...الفنان الذي أدار ظهره للشهرة... لكن الشهرة تمسكت به 
 
واش من أغنية اللي تعجبكم بزاف تع الشيخ ربي يرحمو   ؟",Video,,,"11/30/2019 03:28:42 AM"," ",14120,14120,0,14576,14576,0,778,579,715,2,2,6672,6689,0,0,371,457,458,0,0,3284,3443,0,0,11869,132714,27,230,25,,27,236,27,,253,384,1,,277,437,1,,2,,,,2,,,
110764313093221_358193958350254,https://www.facebook.com/jowradio/posts/358193958350254,"شاهدوا قصة ماحي &quot; أزنافور&quot; كيف إنتقل من عالم طب الأطفال إلى الفن .",Video,,,"11/30/2019 01:00:53 AM"," ",47282,47282,0,48204,48204,0,2328,2074,2685,1,1,29444,29683,0,0,1305,470,470,0,0,16873,17129,0,0,14042,201343,23,379,105,,23,405,144,,524,1648,2,,551,2131,2,,,1,,,,1,,
110764313093221_358564421646541,https://www.facebook.com/jowradio/posts/358564421646541,"حصة سرك في جو راهي على المباشر 🤩
أسمعونا على : www.jow.radio
#SERREKFIJOW",Photo,,,"11/29/2019 02:29:09 PM"," ",13493,13493,0,13603,13603,0,263,190,216,0,0,8677,8654,0,0,194,0,0,0,0,0,0,0,0,0,0,1,78,7,,1,79,7,,,83,66,56,,93,67,56,,,,,,,,
110764313093221_357734435062873,https://www.facebook.com/jowradio/posts/357734435062873,"في مثل هذا اليوم من سنة 1899  تأسس نادي برشلونة ⚽️....  أين  أنصار برشلونة  ليحتفلوا  بالذكرى  😅😅 ؟",Photo,,,"11/29/2019 10:00:00 AM"," ",32170,32170,0,33436,33436,0,1049,548,600,5,5,21511,21557,0,0,757,0,0,0,0,0,0,0,0,0,0,4,588,67,,5,603,78,,,476,1,77,,519,2,79,3,2,,,3,2,,
110764313093221_358316251671358,https://www.facebook.com/jowradio/posts/358316251671358,"Découvrez l’histoire des propriétaires de « Dar Etajine », Farid et Samia Merzouk, célèbres pour leur recette de M’hadjebs

www.jow.news",Video,,,"11/29/2019 08:30:23 AM"," ",123121,123121,0,127428,127428,0,5952,4496,5815,11,11,47421,45684,0,0,1961,3113,3196,0,0,27353,27353,0,0,15259,216533,144,1835,199,,152,1925,265,,1000,3854,28,,1125,4660,30,,5,6,,,5,6,,
110764313093221_358284145007902,https://www.facebook.com/jowradio/posts/358284145007902,"في ذكرى رحيل عملاق الشعبي عمر الزاهي ...الفنان الذي أدار ظهره للشهرة... لكن الشهرة تمسكت به . 
رحل عمر الزاهي في 30 من نوفمبر سنة 2016 .",Video,,,"11/29/2019 05:36:23 AM"," ",139011,139011,0,146582,146582,0,8135,5986,7433,15,15,49000,47063,0,0,2598,4355,4355,0,0,33292,34775,0,0,11880,132714,343,2667,236,,351,2797,272,,1343,5309,1,,1436,5994,1,,4,11,,,4,11,,
110764313093221_358193435016973,https://www.facebook.com/jowradio/posts/358193435016973,"إيريك زمو  المتطرف الذي يريد طرد الجزائريين والمسلمين  من أوروبا..لا يعترف بفلسطين  ويمجد الإستعمار الفرنسي للجزائر&quot; إليكم أبرز تصريحاته ومواقفه  العنصرية المتطرفة .",Video,,,"11/29/2019 02:51:12 AM"," ",30227,30227,0,30682,30682,0,1993,1852,2253,5,7,16346,16232,0,0,974,943,943,0,0,8863,8863,0,0,17950,198357,43,166,58,,50,169,74,,577,1408,,,588,1665,,,2,5,,,2,3,,
110764313093221_357791125057204,https://www.facebook.com/jowradio/posts/357791125057204,"سر نجاح أغاني كادير الجابوني في الساحة الفنية 
#BranchiwJow
اسمعونا على : www.jow.radio",Video,,,"11/28/2019 03:00:00 PM"," ",11324,11324,0,11387,11387,0,596,500,616,2,2,6310,6315,0,0,353,350,357,0,0,3444,3715,0,0,9007,68586,3,115,8,,3,119,9,,186,359,11,,206,399,11,,,2,,,,2,,
110764313093221_357295945106722,https://www.facebook.com/jowradio/posts/357295945106722,"🤣 Serrek Fi Jow  شاهدوا فقرة كمال عبدات اللي جيكم كل جمعة في حصتكم
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
#SERREKFIJOW",Video,,,"11/28/2019 02:00:01 PM"," ",17660,17660,0,18353,18353,0,773,706,866,2,2,11048,11183,0,0,461,68,68,0,0,6206,6274,0,0,16871,632042,2,97,5,,2,103,6,,300,484,,,300,566,,,1,1,,,1,1,,
110764313093221_357810528388597,https://www.facebook.com/jowradio/posts/357810528388597,"ما تراطيوش الغنية الجديدة تاع Kader Japonais نهار السبت 🔥 نتي ماشي histoire 🎤
طاقي صاحبك يحب كادير 😍",SharedVideo,,,"11/28/2019 01:16:14 PM"," ",5535,5535,0,5596,5596,0,280,206,247,1,1,3456,3412,0,0,230,0,0,0,0,1033,1042,0,0,0,45077,,83,2,,,85,2,,,206,,,,247,,,,1,,,,1,,
110764313093221_357286415107675,https://www.facebook.com/jowradio/posts/357286415107675,"أسمعوا القصة المؤلمة تاع هاذ المستمعة ، اللي تعيش معاناة عائلية ...
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543

#SERREKFIJOW",Video,,,"11/28/2019 12:00:00 PM"," ",184023,184023,0,198916,198916,0,23266,21437,28953,47,46,71319,65977,0,0,7672,1366,1426,0,0,83246,87549,0,0,39194,673066,94,2827,155,,106,3021,196,,5835,18462,1,,5996,22955,1,,9,37,,,9,37,,
110764313093221_357728071730176,https://www.facebook.com/jowradio/posts/357728071730176,"محمد بودية ..تشي غيفارا الجزائري  والمناضل العالمي الذي اغتاله الموساد الإسرائيلي ... تعرف على أبرز عملياته دعما لفلسطين والتي أرعبت إسرائيل في أوربا وعلاقته بكارلوس الثلعب وتأثيره على فرقة ناس الغيوان ..",Video,,,"11/28/2019 10:09:11 AM"," ",943707,943707,0,1172101,1172101,0,88018,73676,89869,133,137,75414,59275,0,0,6089,82597,84016,0,0,443988,515096,0,0,28238,171754,7790,15343,1152,,8749,16228,1419,,30559,48779,,,33701,56165,,,34,103,,,33,103,,
110764313093221_357248178444832,https://www.facebook.com/jowradio/posts/357248178444832,"في رقم خاص بصانعي المحتوى، رمزي زنقا كرايزي يوضح ...

#LDTH",Video,,,"11/28/2019 10:00:02 AM"," ",13703,13703,0,14144,14144,0,766,685,837,2,2,7944,8002,0,0,474,631,631,0,0,4744,4766,0,0,18933,165909,2,98,8,,2,102,11,,272,469,,,278,559,,,2,,,,2,,,
110764313093221_357548235081493,https://www.facebook.com/jowradio/posts/357548235081493,"أشياء كثيرة متعرفوهاش على البطل توفيق مخلوفي  ... شاهدو هذا Quizz",Video,,,"11/28/2019 03:28:32 AM"," ",879479,879479,0,897721,897721,0,48693,38257,46832,48,48,76450,73131,0,0,7023,13857,13857,0,0,331533,332686,0,0,19460,292073,205,14344,192,,207,14454,227,,7493,35594,,,7612,39215,,,20,28,,,20,27,,
110764313093221_357191618450488,https://www.facebook.com/jowradio/posts/357191618450488,"28 نوفمبر .. 16 سنة تمر على رحيل الفنانة التونسية &quot; ذكرى &quot; .
 &quot; ذكرى &quot; قتلت على يد زوجها (أيمن السويدي) وقتل أيضا مدير أعمالها وزوجته بسلاح نارى قبل أن يقتل نفسه .",Photo,,,"11/28/2019 01:00:00 AM"," ",23824,23824,0,24622,24622,0,1143,958,1026,2,2,15902,16072,0,0,772,0,0,0,0,0,0,0,0,0,0,7,214,33,,8,219,43,,,776,,197,,828,,198,1,1,,,1,1,,
110764313093221_357065398463110,https://www.facebook.com/jowradio/posts/357065398463110,"تعرف أكثر على قصة الشابين عماد وعاشور",Link,,,"11/27/2019 09:31:24 AM"," ",18361,18361,0,18808,18808,0,413,251,286,1,1,11814,11902,0,0,229,0,0,0,0,0,0,0,0,0,0,7,172,18,,7,175,21,,,123,139,1,,141,144,1,,1,,,,1,,
110764313093221_357001598469490,https://www.facebook.com/jowradio/posts/357001598469490,"اليوم  حصة واش  l'artiste تستضيف Kader Japonais باش يجاوب واش راكم حابين تعرفو عليه 😍
9-11 سا
اسمعونا على : www.jow.radio",Photo,,,"11/27/2019 07:38:45 AM"," ",8790,8790,0,8797,8797,0,228,140,168,1,1,5648,5828,0,0,181,0,0,0,0,0,0,0,0,0,0,1,94,12,,1,97,15,,,93,24,33,,110,25,33,,1,,,,1,,
110764313093221_356950578474592,https://www.facebook.com/jowradio/posts/356950578474592,"شاهدوا قصة ماحي &quot; أزنافور&quot; كيف إنتقل من عالم طب الأطفال إلى الفن .",Video,,,"11/27/2019 07:00:01 AM"," ",181788,181788,0,199263,199263,0,15128,13570,19438,24,24,67927,62963,0,0,4924,3438,3438,0,0,70500,76780,0,0,19645,201343,335,2757,863,,345,3025,1125,,3660,11316,,,4231,15171,,,6,18,,,6,18,,
