"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
110764313093221_261053448064306,https://www.facebook.com/jowradio/posts/261053448064306,"ضيف اليوم في #MGLG هو الممثل أبو بكر بن عيسى 
@AboubakrBenaissa 
تقدرو تشاركو معانا من 16سا حتى 19سا عبر الهاتف 0982218281
اسمعونا على www.jow.radio 
#Branchiwjow",Photo,,,"05/28/2019 08:33:52 AM"," ",1448,1448,0,1975,1975,0,38,25,39,0,0,1634,1205,0,0,35,0,0,0,0,0,0,0,0,0,0,15,3,,15,6,,20,5,,,34,5,,,,,,,,,,
110764313093221_261039414732376,https://www.facebook.com/jowradio/posts/261039414732376,"الهام: « الشعب راه غالط كي دار ثقة في بوتفليقة »",Video,,,"05/28/2019 08:30:01 AM"," ",10051,10051,0,14124,14124,0,568,520,715,0,0,10861,7926,0,0,398,294,299,0,0,3583,3639,0,0,12650,109459,71,16,11,74,23,11,459,,,182,524,,,188,,,,,,,,
110764313093221_261026188067032,https://www.facebook.com/jowradio/posts/261026188067032,"فاطمة: « السياسة فالدزاير راهي فاسدة »",Video,,,"05/28/2019 08:00:02 AM"," ",1933,1933,0,2757,2757,0,76,61,79,1,1,2104,1533,0,0,64,36,36,0,0,543,576,0,0,5554,57385,16,,,16,,,36,,,31,42,,,34,1,,,,1,,,
110764313093221_261038791399105,https://www.facebook.com/jowradio/posts/261038791399105,"تلاميذ متقنة القليعة يقومون بالتصفيق على أساتذتهم 🙏🧡👩‍🏫👨‍🏫",Photo,,,"05/28/2019 07:53:33 AM"," ",11101,11101,0,15923,15923,0,621,372,431,1,1,11675,8363,0,0,468,0,0,0,0,0,0,0,0,0,0,305,15,9,306,21,9,219,172,,,253,178,,,1,,,,1,,,
110764313093221_261020678067583,https://www.facebook.com/jowradio/posts/261020678067583,"الهام : « الدزاير تاع المستقبل هي نهار كل واحد يدي حقو »",Video,,,"05/28/2019 07:30:01 AM"," ",2060,2060,0,2784,2784,0,94,77,99,1,1,2122,1604,0,0,72,48,52,0,0,571,593,0,0,5064,42110,21,3,,22,3,,59,,,28,66,,,30,,1,,,,1,,
110764313093221_261008528068798,https://www.facebook.com/jowradio/posts/261008528068798,"الآن على جو راديو  العضو السابق بالمجلس الدستوري، عامر رخيلة 
تقدروا تشاركوا معانا من 14سا حتى 16سا عبر رقم الهاتف التالي : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/28/2019 06:33:37 AM"," ",5857,5857,0,8042,8042,0,201,159,179,1,1,5093,3751,0,0,114,0,0,0,0,0,0,0,0,0,0,49,4,2,50,5,2,107,47,18,,111,48,20,,1,,,,1,,,
110764313093221_260756911427293,https://www.facebook.com/jowradio/posts/260756911427293,"ضيف اليوم في #ResPublica هو العضو السابق بالمجلس الدستوري، عامر رخيلة 
تقدروا تشاركوا معانا من 14سا حتى 16سا عبر رقم الهاتف التالي : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/28/2019 02:00:00 AM"," ",3913,3913,0,5507,5507,0,97,65,71,0,0,3447,2454,0,0,57,0,0,0,0,0,0,0,0,0,0,36,1,1,36,1,1,49,17,1,,53,17,1,,,,,,,,,
110764313093221_260783021424682,https://www.facebook.com/jowradio/posts/260783021424682,"خالد بن عيسى : &quot;هذا شيء مؤسف أنو مازالهم يصورو أولاد الحلال&quot;",Video,,,"05/27/2019 04:45:47 PM"," ",18937,18937,0,26185,26185,0,3103,3032,4590,2,2,17320,12191,0,0,2113,764,770,0,0,7316,7640,0,0,22132,118739,155,11,3,155,14,3,2819,,,1456,3089,,,1496,1,1,,,1,1,,
110764313093221_260756274760690,https://www.facebook.com/jowradio/posts/260756274760690,"ضيف الغد في #ResPublica هو العضو السابق بالمجلس الدستوري, عامر رخيلة 
تقدروا تشاركوا معانا من 14سا حتى 16سا عبر رقم الهاتف التالي : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/27/2019 03:04:53 PM"," ",2184,2184,0,3047,3047,0,32,27,28,0,0,2388,1714,0,0,26,0,0,0,0,0,0,0,0,0,0,5,,,5,,,23,3,1,,24,3,1,,,,,,,,,
110764313093221_260700204766297,https://www.facebook.com/jowradio/posts/260700204766297,"موضوع اليوم في لي ديبلومي : واش ديرو للدراري كي يصومو المرة الأولى في رمضان؟
اسمعونا على: www.jow.radio",Photo,,,"05/27/2019 12:00:15 PM"," ",1462,1462,0,2078,2078,0,33,20,20,0,0,1668,1150,0,0,29,0,0,0,0,0,0,0,0,0,0,14,,,14,,,15,4,1,,15,4,1,,,,,,,,,
