Date,Comptes utilisateur actifs,Affichage
22 déc. 2019,2490,7218
23 déc. 2019,2209,6535
24 déc. 2019,2122,6906
25 déc. 2019,1887,5317
26 déc. 2019,2513,7598
27 déc. 2019,2377,7744
28 déc. 2019,2172,7240
29 déc. 2019,1948,5985
30 déc. 2019,1940,5943
31 déc. 2019,2057,6715
1 janv. 2020,1776,4995
2 janv. 2020,1804,5444
3 janv. 2020,1644,4873
4 janv. 2020,1678,5358
5 janv. 2020,1794,5052
6 janv. 2020,1892,5836
7 janv. 2020,2306,7350
8 janv. 2020,1977,6222
9 janv. 2020,4861,20612
10 janv. 2020,2667,10621
11 janv. 2020,2137,7344
12 janv. 2020,1728,5436
13 janv. 2020,1946,5614
14 janv. 2020,2189,6973
15 janv. 2020,1968,6452
16 janv. 2020,3135,9593
17 janv. 2020,2203,7809
18 janv. 2020,1954,6103
19 janv. 2020,1852,5632
20 janv. 2020,1848,5543
21 janv. 2020,2379,7938
22 janv. 2020,2022,6306
23 janv. 2020,3806,13714
24 janv. 2020,2930,10381
25 janv. 2020,2430,8698
26 janv. 2020,2090,6534
27 janv. 2020,2009,6373
28 janv. 2020,2484,9700
29 janv. 2020,1918,5588
30 janv. 2020,2932,9530
31 janv. 2020,2031,6660
1 févr. 2020,2163,6726
2 févr. 2020,1767,5032
3 févr. 2020,1893,5273
4 févr. 2020,1929,5458
5 févr. 2020,1758,4920
6 févr. 2020,2822,7775
7 févr. 2020,2026,6712
8 févr. 2020,2162,7245
9 févr. 2020,1667,4787
10 févr. 2020,1722,5132
11 févr. 2020,1938,5369
12 févr. 2020,1772,4843
13 févr. 2020,2525,7179
14 févr. 2020,1848,5780
15 févr. 2020,2138,6952
16 févr. 2020,1775,6030
17 févr. 2020,1816,7146
18 févr. 2020,1913,5392
19 févr. 2020,1667,4164
20 févr. 2020,1724,5050
21 févr. 2020,1796,5728
22 févr. 2020,1644,5180
23 févr. 2020,1559,4073
24 févr. 2020,1534,3912
25 févr. 2020,1692,5084
26 févr. 2020,1556,4109
27 févr. 2020,1989,7143
28 févr. 2020,2505,13663
29 févr. 2020,2595,14621
1 mars 2020,2853,13016
2 mars 2020,2581,11573
3 mars 2020,2647,11805
4 mars 2020,2465,9952
5 mars 2020,2589,10011
6 mars 2020,2475,10548
7 mars 2020,2354,9564
8 mars 2020,2281,8871
9 mars 2020,2321,8757
10 mars 2020,2293,8811
11 mars 2020,2134,8354
12 mars 2020,2164,7382
13 mars 2020,2011,7913
14 mars 2020,2008,7501
15 mars 2020,2049,7205
16 mars 2020,2082,7203
17 mars 2020,2179,9509
18 mars 2020,2093,8623
19 mars 2020,2166,9027
20 mars 2020,1971,8394
21 mars 2020,2017,7951
22 mars 2020,2007,7109
23 mars 2020,2103,7424
24 mars 2020,1998,7124
25 mars 2020,1975,7343
26 mars 2020,1913,6604
27 mars 2020,1749,5935
28 mars 2020,1753,6192
29 mars 2020,1682,5469
30 mars 2020,1604,5536
31 mars 2020,1623,4942
1 avr. 2020,1606,5460
2 avr. 2020,1633,5856
3 avr. 2020,1511,5187
4 avr. 2020,1477,5033
5 avr. 2020,1827,7800
6 avr. 2020,1691,5314
7 avr. 2020,1493,4666
8 avr. 2020,1579,4939
9 avr. 2020,1626,5376
10 avr. 2020,1345,4256
11 avr. 2020,1412,4615
12 avr. 2020,1457,4746
13 avr. 2020,1348,4208
14 avr. 2020,1377,4388
15 avr. 2020,1508,5427
16 avr. 2020,1678,6229
